Address,Geocode
"293 Avenue Dausmenil, 75012 Paris France","{""lat"": 48.831631, ""lng"": 2.388061}"
"35 Boulevard Richard Lenoir Ground floor, RDC, 75011 Paris France","{""lat"": 48.8579852, ""lng"": 2.3708922}"
"Place du Trocad�ro, 75016 Paris France","{""lat"": 48.862963, ""lng"": 2.28714}"
"Place de l'Op�ra, 75009 Paris France","{""lat"": 48.8708799, ""lng"": 2.3324687}"
"34 Av. des Champs-�lys�es, 75008 Paris France","{""lat"": 48.8699573, ""lng"": 2.3081565}"
"38 rue Croix des Petits Champs, 75001 Paris France","{""lat"": 48.8643735, ""lng"": 2.3403591}"
"8Bis Rue de L'Arriv�e, 75015 Paris France","{""lat"": 48.8435991, ""lng"": 2.3220839}"
"30 Avenue Corentin Cariou Vill'Up � La Villette, 75019 Paris France","{""lat"": 48.896214, ""lng"": 2.389013}"
"139 Rue Mouffetard, 75005 Paris France","{""lat"": 48.839839, ""lng"": 2.349822}"
"9 Rue Guenegaud, 75006 Paris France","{""lat"": 48.8561015, ""lng"": 2.3393989}"
"40 Rue de Clichy, 75009 Paris France","{""lat"": 48.8794392, ""lng"": 2.3294409}"
"Square de l'�le de France, 75004 Paris France","{""lat"": 48.852088, ""lng"": 2.3522269}"
"134 rue de Vaugirard, 75015 Paris France","{""lat"": 48.8449832, ""lng"": 2.3195007}"
"11 Rue Poulbot, 75018 Paris France","{""lat"": 48.886497, ""lng"": 2.339806}"
"2 Place du Louvre 1er Arrondissement, 75001 Paris France","{""lat"": 48.8595727, ""lng"": 2.3408274}"
"Place de la Concorde, 75008 Paris France","{""lat"": 48.8668476, ""lng"": 2.3208963}"
"10-12 Boulevard Montmartre, 75009 Paris France","{""lat"": 48.872342, ""lng"": 2.343276}"
"10 Rue Servandoni, 75006 Paris France","{""lat"": 48.8501851, ""lng"": 2.3346911}"
"Rue de M�dicis Jardin du Luxembourg, 75006 Paris France","{""lat"": 48.848393, ""lng"": 2.339452}"
"26 Rue Breguet, 75011 Paris France","{""lat"": 48.8576552, ""lng"": 2.3741114}"
"1 Place Trocad�ro et du 11 Novembre, 75116 Paris France","{""lat"": 48.862963, ""lng"": 2.28714}"
"20 Avenue Rachel, 75018 Paris France","{""lat"": 48.885389, ""lng"": 2.331063}"
"22 rue Dussoubs, 75002 Paris France","{""lat"": 48.8657104, ""lng"": 2.3489187}"
"11 Rue Lamarck, 75018 Paris France","{""lat"": 48.8879413, ""lng"": 2.3442475}"
"30 Av. Corentin Cariou, 75019 Paris Centre Vill'up, 75019 Paris France","{""lat"": 48.896214, ""lng"": 2.389013}"
"17 Rue de la Pierre Lev�e, 75011 Paris France","{""lat"": 48.867853, ""lng"": 2.370062}"
"76 Rue De La Victoire, 75009 Paris France","{""lat"": 48.8753074, ""lng"": 2.3328814}"
"8 villa de saxe, 75007 Paris France","{""lat"": 48.8495807, ""lng"": 2.3097597}"
"53 Boulevard de la Tour Maubourg, 75007 Paris France","{""lat"": 48.8548922, ""lng"": 2.3098435}"
"33 Quai D'Orsay, 75007 Paris France","{""lat"": 48.8625659, ""lng"": 2.3182938}"
"61 Rue de Grenelle, 75007 Paris France","{""lat"": 48.8548016, ""lng"": 2.3249331}"
"Rue de la Butte Aux Cailles, 75013 Paris France","{""lat"": 48.8280664, ""lng"": 2.3523301}"
"14 Rue Catherine de la Rochefoucauld, 75009 Paris France","{""lat"": 48.8779149, ""lng"": 2.3344031}"
"26 rue Richer, 75009 Paris France","{""lat"": 48.8740785, ""lng"": 2.3456206}"
"5 Rue Stephenson, 75018 Paris France","{""lat"": 48.8853908, ""lng"": 2.3566542}"
"82 Boulevard de Clichy, 75018 Paris France","{""lat"": 48.884011, ""lng"": 2.332622}"
"129 Rue de Grenelle Les Invalides, 75007 Paris France","{""lat"": 48.857037, ""lng"": 2.311878}"
"17 Rue Guersant, 75017 Paris France","{""lat"": 48.8805985, ""lng"": 2.2901271}"
"25 rue Coquilli�re, 75001 Paris France","{""lat"": 48.8639412, ""lng"": 2.3420663}"
"3 Boulevard Edgar Quinet 14�me Arrondissement, 75014 Paris France","{""lat"": 48.839956, ""lng"": 2.327684}"
"2 Rue du Mont Cenis, 75018 Paris France","{""lat"": 48.896971, ""lng"": 2.3466}"
"46 avenue daumesnil, 75012 Paris France","{""lat"": 48.832002, ""lng"": 2.388872}"
"Rue de la Folie M�ricourt, 75011 Paris France","{""lat"": 48.8649642, ""lng"": 2.3710458}"
"Place du Carrousel Entre Le Louvre et Jardin des Tuileries, 75001 Paris France","{""lat"": 48.859846, ""lng"": 2.340611}"
"44 Rue de Dunkerque, 75009 Paris France","{""lat"": 48.8813519, ""lng"": 2.3491108}"
"8 avenue de la Porte Molitor H�tel Molitor Paris, 75016 Paris France","{""lat"": 48.84501, ""lng"": 2.25342}"
"20 Rue Croix des Petits Champs, 75001 Paris France","{""lat"": 48.8637203, ""lng"": 2.3400065}"
"16 rue Raymond Aron, 75013 Paris France","{""lat"": 48.8351547, ""lng"": 2.3741869}"
"6 Rue Guillaume Bertrand, 75011 Paris France","{""lat"": 48.863261, ""lng"": 2.37994}"
"28 Rue du Cardinal Lemoine, 75005 Paris France","{""lat"": 48.8479749, ""lng"": 2.3530374}"
"24 Boulevard Poissonniere Theatre des Nouveautes, 75009 Paris France","{""lat"": 48.871353, ""lng"": 2.3448935}"
"18 Boulevard du Temple 11�me Arrondissement, 75011 Paris France","{""lat"": 48.864539, ""lng"": 2.366158}"
"58 Rue des Garennes 92160 Antony, 92160 Paris France","{""lat"": 48.739653, ""lng"": 2.286144}"
"51 Boulevard de la Chapelle ( Fond de la Cour a Gauche ), 75010 Paris France","{""lat"": 48.8709, ""lng"": 2.3561}"
"15 Place Vend�me H�tel Ritz, 75001 Paris France","{""lat"": 47.805273, ""lng"": 1.063263}"
"40 Avenue de la R�publique, 75011 Paris France","{""lat"": 48.865374, ""lng"": 2.373231}"
"92 Rue Nollet, 75017 Paris France","{""lat"": 48.8880463, ""lng"": 2.3196196}"
"17 Place De La Nation, 75011 Paris France","{""lat"": 48.848797, ""lng"": 2.397526}"
"55 rue Traversi�re, 75012 Paris France","{""lat"": 48.832694, ""lng"": 2.389395}"
"97 Boulevard Soult, 75012 Paris France","{""lat"": 48.842766, ""lng"": 2.409529}"
"30, Rue Richer, 75009 Paris France","{""lat"": 48.87408, ""lng"": 2.345162}"
"25 rue Pierre Fontaine 9th, 75009 Paris France","{""lat"": 48.8820208, ""lng"": 2.3337361}"
"15 rue de la Grande Truanderie, 75001 Paris France","{""lat"": 48.862797, ""lng"": 2.348945}"
"52 rue Mouffetard, 75005 Paris France","{""lat"": 48.8433209, ""lng"": 2.3494827}"
"17 Rue Mayet, 75006 Paris France","{""lat"": 48.8464961, ""lng"": 2.3191973}"
"32 rue Montorgueil, 75001 Paris France","{""lat"": 48.8638563, ""lng"": 2.3465274}"
"102 boulevard Voltaire, 75011 Paris France","{""lat"": 48.8595816, ""lng"": 2.3768252}"
"79 rue de Patay, 75013 Paris France","{""lat"": 48.8266411, ""lng"": 2.3728201}"
"1 rue des Fosses Saint Bernard Institut du Monde Arabe, 75005 Paris France","{""lat"": 48.849172, ""lng"": 2.356212}"
"127 Rue Jeanne d'Arc, 75013 Paris France","{""lat"": 48.835324, ""lng"": 2.360798}"
"4 Rue des Petits H�tels, 75010 Paris France","{""lat"": 48.8773877, ""lng"": 2.3544906}"
"157 rue Vercingetorix, 75014 Paris France","{""lat"": 48.8322981, ""lng"": 2.3110797}"
"62 rue Beaubourg, 75003 Paris France","{""lat"": 48.8633032, ""lng"": 2.3547527}"
"94 Rue De Lourmel, 75015 Paris France","{""lat"": 48.8443811, ""lng"": 2.2866865}"
"38 Rue de S�vres, 75007 Paris France","{""lat"": 48.8499722, ""lng"": 2.3232975}"
"7 Quai De La Seine, 75019 Paris France","{""lat"": 48.8845476, ""lng"": 2.3701347}"
"18 Rue De Verdun, 91800 Paris France","{""lat"": 48.3981501, ""lng"": -4.463709}"
"8 Bd Montmartre, 75009 Paris France","{""lat"": 48.872151, ""lng"": 2.343292}"
"25 rue du Petit Musc, 75004 Paris France","{""lat"": 48.8528528, ""lng"": 2.3643376}"
"40 bis rue du Faubourg Poissoni�re, 7510 Paris France","{""lat"": 50.120234, ""lng"": 3.696904}"
"80 Rue des Martyrs 18�me Arrondissement, 75018 Paris France","{""lat"": 48.883052, ""lng"": 2.339771}"
"15 Place Vend�me, 75001 Paris France","{""lat"": 48.8679507, ""lng"": 2.328898}"
"5 rue de Hanovre, 75002 Paris France","{""lat"": 48.870149, ""lng"": 2.3353567}"
"3 Rue de S�vign�, 75004 Paris France","{""lat"": 48.855309, ""lng"": 2.361741}"
"rue Jean Pierre Timbaud, 75011 Paris France","{""lat"": 48.8671608, ""lng"": 2.375398}"
"61 rue Chardon Lagache, 75016 Paris France","{""lat"": 48.8423457, ""lng"": 2.2645202}"
"57 rue de Maubeuge, 75009 Paris France","{""lat"": 48.879265, ""lng"": 2.347849}"
"161 Rue des Pyr�n�es, 75020 Paris France","{""lat"": 48.8595112, ""lng"": 2.4015096}"
"92 rue du Cherche Midi, 75006 Paris France","{""lat"": 48.847412, ""lng"": 2.3223496}"
"30 rue Saint Paul, 75004 Paris France","{""lat"": 48.8539096, ""lng"": 2.3621737}"
"1 Rue du Pont Louis-Philippe, 75004 Paris France","{""lat"": 48.8547614, ""lng"": 2.3552119}"
"3 cit� Souzy, 75011 Paris France","{""lat"": 48.851719, ""lng"": 2.3889469}"
"12 Avenue George V 8�me Arrondissement, 75008 Paris France","{""lat"": 48.865966, ""lng"": 2.301645}"
"10 Rue Gambey, 75011 Paris France","{""lat"": 48.865259, ""lng"": 2.371938}"
"Place Vend�me, 75001 Paris France","{""lat"": 48.8674634, ""lng"": 2.3294281}"
"50 Rue d'Aboukir, 75002 Paris France","{""lat"": 48.867281, ""lng"": 2.345573}"
"80 Rue De Vaugirard, 75006 Paris France","{""lat"": 48.8476552, ""lng"": 2.3287354}"
"2 Rue Fran�aise, 75001 Paris France","{""lat"": 48.8637393, ""lng"": 2.347537}"
"39 Rue De Palestro, 75002 Paris France","{""lat"": 48.866912, ""lng"": 2.3522779}"
"18 rue de Paradis, 75010 Paris France","{""lat"": 48.8747761, ""lng"": 2.3537222}"
"30 rue des Saints-Peres, 75007 Paris France","{""lat"": 48.8553762, ""lng"": 2.3308358}"
"18-20 Rue Coquilli�re Proche du Louvre, de l'�glise Saint-Eustache, des Halles, 75001 Paris France","{""lat"": 48.859969, ""lng"": 2.346691}"
"28 B boulevard Pereire, 75017 Paris France","{""lat"": 48.88805, ""lng"": 2.307995}"
"6 Square de l Opera Louis Jouvet, 75009 Paris France","{""lat"": 48.871676, ""lng"": 2.328995}"
"The Louvre, rue de Rivoli, 75001 Paris France","{""lat"": 48.860803, ""lng"": 2.341123}"
"251 Rue Saint-Honor�, 75001 Paris France","{""lat"": 48.867118, ""lng"": 2.3270818}"
"69 Avenue De Wagram, 75017 Paris France","{""lat"": 48.879013, ""lng"": 2.298599}"
"72 bd de Charonne, 75020 Paris France","{""lat"": 48.852814, ""lng"": 2.397597}"
"4 rue de Caumartin, 75009 Paris France","{""lat"": 48.8705594, ""lng"": 2.3281113}"
"110 Rue Amelot 11�me Arrondissement, 75011 Paris France","{""lat"": 48.863481, ""lng"": 2.367568}"
"112 rue du Faubourg Saint Honore, 75008 Paris France","{""lat"": 48.8716714, ""lng"": 2.3147666}"
"1 Place du Marche Sainte Catherine, 75004 Paris France","{""lat"": 48.8553529, ""lng"": 2.3625784}"
"244 Rue de Rivoli, 75001 Paris France","{""lat"": 48.8660444, ""lng"": 2.3253018}"
"147 rue de Vaugirard, 75015 Paris France","{""lat"": 48.8439523, ""lng"": 2.3163491}"
"52 rue de l Arbre Sec, 75001 Paris France","{""lat"": 48.860935, ""lng"": 2.3425797}"
"42 Rue Sedaine, 75011 Paris France","{""lat"": 48.85701, ""lng"": 2.374931}"
"24 Rue du Temple, 75004 Paris France","{""lat"": 48.8588964, ""lng"": 2.3537137}"
"65 Rue Montmartre, 75002 Paris France","{""lat"": 48.8664533, ""lng"": 2.3442977}"
